HDR,ROLLING SYSTEM DEMAND
VD,20200317062500,28644
VD,20200317063000,29005
VD,20200317063500,29344
VD,20200317064000,29734
VD,20200317064500,30207
VD,20200317065000,30555
VD,20200317065500,31087
VD,20200317070000,31594
VD,20200317070500,32234
VD,20200317071000,32673
VD,20200317071500,33006
VD,20200317072000,33263
VD,20200317072500,33543
VD,20200317073000,33743
VD,20200317073500,33809
VD,20200317074000,33935
VD,20200317074500,34195
VD,20200317075000,34304
VD,20200317075500,34433
VD,20200317080000,34526
VD,20200317080500,34615
VD,20200317081000,34623
VD,20200317081500,34606
VD,20200317082000,34724
VD,20200317082500,34796
VD,20200317083000,34764
VD,20200317083500,34680
VD,20200317084000,34530
VD,20200317084500,34496
VD,20200317085000,34387
VD,20200317085500,34511
VD,20200317090000,34607
VD,20200317090500,34736
VD,20200317091000,34758
VD,20200317091500,34654
VD,20200317092000,34561
VD,20200317092500,34503
VD,20200317093000,34349
VD,20200317093500,34280
VD,20200317094000,34290
VD,20200317094500,34174
VD,20200317095000,34101
VD,20200317095500,34056
VD,20200317100000,34050
VD,20200317100500,34017
VD,20200317101000,34014
VD,20200317101500,34022
VD,20200317102000,33975
VD,20200317102500,33820
VD,20200317103000,33778
VD,20200317103500,33847
VD,20200317104000,33796
VD,20200317104500,33708
VD,20200317105000,33767
VD,20200317105500,33754
VD,20200317110000,33748
VD,20200317110500,33661
VD,20200317111000,33536
VD,20200317111500,33430
VD,20200317112000,33546
VD,20200317112500,33525
VD,20200317113000,33436
VD,20200317113500,33464
VD,20200317114000,33710
VD,20200317114500,33678
VD,20200317115000,33597
VD,20200317115500,33812
VD,20200317120000,33799
VD,20200317120500,33789
VD,20200317121000,33854
VD,20200317121500,33623
VD,20200317122000,34046
VD,20200317122500,34066
VD,20200317123000,33996
VD,20200317123500,33804
VD,20200317124000,33816
VD,20200317124500,33723
VD,20200317125000,33660
VD,20200317125500,33736
VD,20200317130000,33796
VD,20200317130500,33869
VD,20200317131000,33851
VD,20200317131500,33810
VD,20200317132000,33912
VD,20200317132500,33929
VD,20200317133000,33786
VD,20200317133500,33724
VD,20200317134000,33804
VD,20200317134500,34011
VD,20200317135000,33922
VD,20200317135500,34070
VD,20200317140000,34105
VD,20200317140500,33848
VD,20200317141000,33819
VD,20200317141500,33717
VD,20200317142000,33575
VD,20200317142500,33641
VD,20200317143000,33640
VD,20200317143500,33738
VD,20200317144000,33606
VD,20200317144500,33598
VD,20200317145000,33754
VD,20200317145500,33722
VD,20200317150000,33664
VD,20200317150500,33917
VD,20200317151000,33798
VD,20200317151500,33747
VD,20200317152000,33860
VD,20200317152500,33913
VD,20200317153000,33989
VD,20200317153500,34071
VD,20200317154000,34175
VD,20200317154500,34400
VD,20200317155000,34704
VD,20200317155500,34890
VD,20200317160000,35085
VD,20200317160500,35119
VD,20200317161000,35293
VD,20200317161500,35534
VD,20200317162000,35682
VD,20200317162500,35869
VD,20200317163000,35992
VD,20200317163500,36255
VD,20200317164000,36510
VD,20200317164500,36691
VD,20200317165000,36894
VD,20200317165500,37087
VD,20200317170000,37167
VD,20200317170500,37413
VD,20200317171000,37583
VD,20200317171500,37769
VD,20200317172000,37867
VD,20200317172500,37990
VD,20200317173000,38111
VD,20200317173500,38268
VD,20200317174000,38453
VD,20200317174500,38551
VD,20200317175000,38797
VD,20200317175500,38991
VD,20200317180000,38898
VD,20200317180500,39139
VD,20200317181000,39208
VD,20200317181500,39257
VD,20200317182000,39482
VD,20200317182500,39586
VD,20200317183000,39725
VD,20200317183500,39909
VD,20200317184000,39801
VD,20200317184500,39788
VD,20200317185000,39752
VD,20200317185500,39576
VD,20200317190000,39605
VD,20200317190500,39568
VD,20200317191000,39428
VD,20200317191500,39301
VD,20200317192000,39118
VD,20200317192500,38916
VD,20200317193000,38752
VD,20200317193500,38565
VD,20200317194000,38253
